Date,Close Price,High Price,Low Price,Open Price,Volume
2021-12-22 16PM,48998,49245.81,48757.82,48879.28,1300.45263
2021-12-22 17PM,48702.07,49100,48689.65,48998,959.87212
2021-12-22 18PM,48576.02,48846.42,48524.98,48702.07,886.56148
2021-12-22 19PM,48931.99,48950,48506.01,48576.02,799.48215
2021-12-22 20PM,48974.34,49144.99,48860.47,48931.99,1309.98901
2021-12-22 21PM,49048.84,49139.97,48836.72,48974.33,894.4665
2021-12-22 22PM,48977.21,49084.45,48788.49,49048.83,710.47289
2021-12-22 23PM,48588.16,48995.89,48555,48977.21,1186.22529
2021-12-23 00AM,48290,48673.13,47920.42,48588.17,2329.67688
2021-12-23 01AM,48469.14,48490.22,48069.51,48289.99,927.9752
2021-12-23 02AM,48355.4,48731.71,48321.09,48469.13,1310.53817
2021-12-23 03AM,48524.11,48555,48208.25,48355.39,795.94821
2021-12-23 04AM,48362.41,48584.71,48295.51,48524.11,616.1453
2021-12-23 05AM,48384.52,48567.1,48200,48362.41,767.30713
2021-12-23 06AM,48468.92,48499.55,48265.71,48384.53,834.07255
2021-12-23 07AM,48129.6,48500,48031.45,48468.93,1148.70861
2021-12-23 08AM,48339.9,48363,48060,48129.61,998.79131
2021-12-23 09AM,48376.94,48424.97,48149,48339.91,881.70746
2021-12-23 10AM,48434.53,48450,48211.62,48376.94,807.06689
2021-12-23 11AM,48354.77,48541.86,48227.98,48434.53,1185.40474
2021-12-23 12PM,48616.93,48838.63,48323.98,48354.76,1249.92282
2021-12-23 13PM,48614.97,48859.61,48584.43,48616.94,1384.61313
2021-12-23 14PM,48599.23,48700,48464,48614.96,997.82265
2021-12-23 15PM,48819.33,48849.66,48578.15,48599.24,992.50872
2021-12-23 16PM,49089.49,49154,48677.52,48819.33,2038.16202
2021-12-23 17PM,50060.01,50166,49013,49089.49,3915.22028
2021-12-23 18PM,50619.98,50776.98,50060,50060.01,4053.4834
2021-12-23 19PM,51109.99,51375,50500,50619.98,2934.34312
2021-12-23 20PM,50929.71,51209.3,50718.66,51110,1825.89043
2021-12-23 21PM,50824.37,50980.99,50622.75,50929.71,1290.12677
2021-12-23 22PM,50758.94,50998.72,50706.45,50824.37,858.21201
2021-12-23 23PM,50838.81,50851.11,50501,50758.94,1048.89266
2021-12-24 00AM,50877.38,50990,50644.48,50838.82,1258.57071
2021-12-24 01AM,51350.01,51375,50843.12,50877.38,3037.17958
2021-12-24 02AM,51044.02,51527.58,51015.55,51350.01,2286.33021
2021-12-24 03AM,51029.99,51167.46,50851.02,51044.02,1260.66778
2021-12-24 04AM,50951.47,51109.09,50926.55,51030,560.59259
2021-12-24 05AM,51012.73,51026.34,50828.99,50951.41,765.92466
